iter	Quantile:alpha=0.9
0	0.03266762366
1	0.03263143228
2	0.0325996921
3	0.03256604897
4	0.03253171462
5	0.03250414802
6	0.03246908236
7	0.0324502893
8	0.03243133854
9	0.03240913329
10	0.03238692505
11	0.03236032062
12	0.03233838635
13	0.0323186589
14	0.03230068375
15	0.03228157238
16	0.03226037926
17	0.0322442032
18	0.03222729679
19	0.03221433741
20	0.03219885568
21	0.03218430048
22	0.03216844115
23	0.03215617374
24	0.03213866078
25	0.03212492679
26	0.03210911546
27	0.03209551381
28	0.03208701947
29	0.03207390704
30	0.0320645142
31	0.03205039226
32	0.03203720022
33	0.03202597058
34	0.03201150905
35	0.03199672016
36	0.03198789645
37	0.03197365858
38	0.03195562748
39	0.03194021675
40	0.03193032705
41	0.03192012363
42	0.0319076458
43	0.03188544425
44	0.03187437703
45	0.0318645403
46	0.03185181803
47	0.03184125908
48	0.03183007089
49	0.03182185971
50	0.03180972133
51	0.03179860537
52	0.03178906599
53	0.03177596662
54	0.03176656715
55	0.03175404818
56	0.03174463818
57	0.03173922189
58	0.03173058605
59	0.03171835446
60	0.03170728922
61	0.03169465059
62	0.0316859595
63	0.0316785713
64	0.03167020485
65	0.0316636486
66	0.03164833514
67	0.03164239894
68	0.03163048359
69	0.03162381829
70	0.03161331101
71	0.03160246124
72	0.03159122029
73	0.03158509152
74	0.03157763733
75	0.03156891571
76	0.03156264978
77	0.03155519061
78	0.03154532247
79	0.03153911858
80	0.03153118371
81	0.03152544049
82	0.03151547823
83	0.03150832527
84	0.03149744358
85	0.03149223572
86	0.03148384019
87	0.03147685792
88	0.03147065738
89	0.0314644594
90	0.03145609555
91	0.03145116666
92	0.03144499621
93	0.03143817868
94	0.03143305858
95	0.03142690846
96	0.03141927741
97	0.03140949262
98	0.0314018721
99	0.03139238423
100	0.03138626024
101	0.03138082717
102	0.03137397904
103	0.0313678087
104	0.03135859546
105	0.03135194931
106	0.03134509755
107	0.03133888217
108	0.03132924762
109	0.03132204764
110	0.03131648797
